 AI Road Intelligence for Indian Autonomous Driving — Traffic Dataset,,,,,,,,,,,,,,,,
Object Class,Road Condition,Time of Day,Weather,City Zone,Distance (m),Confidence,Speed (km/h),BBox X (px),BBox Y (px),BBox W (px),BBox H (px),Lane Discipline,Pothole Severity,Visibility (m),Danger Score,Hazardous?
truck,pothole_heavy,night,rainy,mumbai_suburban,17.97,0.842,28.70,841.7,414.8,240.0,274.2,0.377,9.18,27.40,52.11,YES
motorcycle,pothole_light,night,dusty,bangalore_tech,9.95,0.695,45.90,83.1,574.6,63.2,55.9,0.370,3.93,34.40,41.22,YES
bus,flooded,evening_rush,clear,mumbai_suburban,29.78,0.871,32.10,279.8,395.1,281.9,271.6,0.330,6.70,87.10,37.27,NO
autorickshaw,pothole_heavy,morning_rush,clear,delhi_inner,7.32,0.812,16.70,45.8,206.8,108.8,98.0,0.155,8.76,85.70,47.44,YES
cow,pothole_heavy,morning_rush,foggy,delhi_inner,6.78,0.456,3.10,16.1,219.7,122.3,107.0,0.470,6.25,18.00,70.67,YES
truck,smooth,morning_rush,clear,delhi_inner,18.72,0.795,15.00,373.9,329.9,222.0,283.8,0.583,2.08,86.10,18.28,NO
car,pothole_light,afternoon,foggy,bangalore_tech,13.85,0.817,36.30,207.9,484.5,213.1,233.9,0.218,3.69,20.50,41.96,YES
pedestrian,smooth,morning_rush,rainy,rural_highway,12.01,0.647,0.80,337.8,369.4,21.3,25.1,0.316,0.83,25.80,41.95,YES
bus,flooded,afternoon,dusty,delhi_inner,24.96,0.821,32.70,847.3,293.8,247.9,247.6,0.209,6.87,32.60,48.22,YES
truck,pothole_heavy,afternoon,hazy,rural_highway,22.64,0.829,21.40,171.6,235.3,227.1,257.2,0.259,5.01,51.90,34.67,NO
cow,smooth,dawn,rainy,hyderabad_highway,7.41,0.641,0.00,889.1,460.2,140.5,134.1,0.289,0.00,40.40,43.71,YES
dog,smooth,evening_rush,hazy,kolkata_old,7.51,0.579,6.70,812.9,488.0,75.7,74.6,0.310,1.01,46.60,44.46,YES
motorcycle,pothole_heavy,night,rainy,kolkata_old,12.09,0.698,41.30,395.3,244.3,69.2,82.5,0.069,8.07,27.20,55.11,YES
motorcycle,damaged_edge,night,hazy,hyderabad_highway,6.85,0.641,47.90,660.8,413.5,71.0,63.2,0.233,5.83,44.40,45.23,YES
truck,pothole_light,morning_rush,clear,delhi_inner,23.58,0.775,15.70,472.1,376.9,217.8,254.9,0.170,4.11,76.20,36.20,NO
motorcycle,smooth,night,hazy,bangalore_tech,9.57,0.806,43.10,156.3,415.8,63.1,82.7,0.070,1.48,41.90,29.37,NO
cow,pothole_heavy,afternoon,hazy,kolkata_old,12.85,0.611,0.10,1034.8,468.7,139.3,121.5,0.411,8.14,41.40,68.13,YES
bicycle,smooth,evening_rush,foggy,kolkata_old,9.54,0.617,9.60,692.6,554.4,64.2,85.9,0.546,1.71,19.60,33.42,NO
motorcycle,pothole_light,afternoon,rainy,hyderabad_highway,12.29,0.661,45.80,1062.5,514.2,72.9,61.8,0.582,2.82,30.60,35.72,NO
motorcycle,flooded,dawn,rainy,delhi_inner,8.69,0.796,39.10,984.6,467.6,84.8,85.6,0.087,5.85,29.30,48.87,YES
pedestrian,pothole_heavy,afternoon,clear,kolkata_old,8.65,0.780,11.10,100.3,621.3,22.7,26.5,0.387,7.29,78.90,44.18,YES
motorcycle,pothole_light,afternoon,rainy,kolkata_old,11.21,0.723,39.30,249.4,590.0,76.6,86.9,0.173,4.47,33.80,38.72,NO
cow,smooth,dawn,hazy,mumbai_suburban,9.94,0.640,0.00,160.5,343.9,174.8,149.9,0.217,0.00,43.90,41.13,NO
autorickshaw,damaged_edge,morning_rush,dusty,mumbai_suburban,7.75,0.841,11.40,977.2,267.1,103.7,132.7,0.025,4.72,34.20,39.79,NO
pedestrian,smooth,evening_rush,dusty,kolkata_old,12.37,0.789,1.80,1044.2,546.9,69.3,95.9,0.133,0.00,34.10,38.56,NO
car,damaged_edge,night,clear,rural_highway,7.96,0.945,40.50,580.3,276.0,180.8,164.3,0.145,4.45,87.70,29.52,NO
pedestrian,damaged_edge,night,foggy,bangalore_tech,5.16,0.614,0.00,129.1,632.2,41.0,54.8,0.314,4.99,17.50,57.72,YES
autorickshaw,flooded,dawn,clear,hyderabad_highway,10.36,0.844,29.40,160.0,209.3,100.2,113.6,0.437,3.57,83.00,25.89,NO
truck,pothole_light,dawn,hazy,bangalore_tech,22.90,0.898,30.60,860.7,400.5,222.1,302.4,0.126,1.24,41.30,26.22,NO
car,smooth,morning_rush,hazy,delhi_inner,19.11,0.878,26.30,1001.9,398.7,201.8,182.8,0.148,0.07,46.70,23.02,NO
pedestrian,flooded,night,clear,delhi_inner,1.98,0.649,2.30,246.5,559.2,44.2,56.3,0.313,2.68,82.70,43.55,YES
dog,construction,evening_rush,rainy,delhi_inner,3.84,0.547,3.10,13.5,384.3,68.8,57.5,0.511,6.77,35.40,69.83,YES
motorcycle,flooded,evening_rush,clear,bangalore_tech,2.99,0.851,30.60,392.1,590.2,95.2,126.5,0.080,5.55,78.10,45.63,YES
car,pothole_light,morning_rush,clear,mumbai_suburban,14.68,0.846,17.40,33.4,267.6,185.1,223.0,0.347,4.65,74.40,32.92,NO
car,pothole_heavy,evening_rush,rainy,hyderabad_highway,16.47,0.828,19.70,930.3,295.2,156.4,159.9,0.210,7.19,26.10,53.62,YES
pedestrian,smooth,dawn,rainy,hyderabad_highway,14.26,0.838,0.00,603.8,224.3,51.5,47.1,0.033,1.88,34.80,39.36,NO
truck,damaged_edge,dawn,dusty,delhi_inner,20.99,0.974,33.20,665.8,394.6,242.7,313.0,0.235,6.02,45.40,36.48,NO
truck,smooth,evening_rush,rainy,mumbai_suburban,22.50,0.802,15.80,436.4,320.9,219.4,255.0,0.566,0.00,34.20,24.45,NO
motorcycle,smooth,morning_rush,rainy,mumbai_suburban,12.51,0.863,15.00,428.8,524.3,38.9,39.5,0.370,0.00,23.70,31.05,NO
motorcycle,flooded,afternoon,hazy,kolkata_old,7.82,0.782,33.60,265.3,494.6,85.8,91.5,0.326,7.83,49.00,50.15,YES
truck,pothole_light,night,clear,delhi_inner,13.66,0.798,28.60,819.1,408.8,217.0,281.2,0.361,3.16,75.30,23.83,NO
autorickshaw,flooded,night,clear,delhi_inner,12.71,0.741,37.60,825.9,484.0,92.6,92.9,0.620,5.94,78.30,32.03,NO
e-rickshaw,pothole_light,evening_rush,hazy,rural_highway,4.58,0.646,11.20,431.1,451.6,84.8,72.4,0.339,5.68,45.90,47.93,YES
car,pothole_light,morning_rush,rainy,hyderabad_highway,19.43,0.772,12.60,348.5,383.2,194.6,262.1,0.164,3.35,31.80,37.60,NO
pedestrian,smooth,evening_rush,hazy,delhi_inner,8.05,0.904,0.90,1.5,560.3,39.0,40.3,0.202,1.35,45.30,35.79,NO
motorcycle,damaged_edge,evening_rush,rainy,bangalore_tech,13.61,0.703,13.70,77.1,284.2,66.4,67.0,0.297,3.91,27.00,40.48,NO
autorickshaw,pothole_heavy,dawn,hazy,mumbai_suburban,9.77,0.700,18.20,723.3,244.9,119.5,110.2,0.054,4.53,50.30,41.76,YES
pedestrian,pothole_heavy,evening_rush,clear,hyderabad_highway,7.62,0.892,0.00,637.9,234.9,40.3,54.0,0.352,9.47,77.40,51.82,YES
pedestrian,construction,afternoon,clear,bangalore_tech,9.29,0.872,5.60,534.2,376.6,51.5,47.9,0.166,7.53,86.30,52.09,YES
e-rickshaw,pothole_heavy,evening_rush,foggy,delhi_inner,10.05,0.658,14.50,970.7,396.0,107.0,126.4,0.402,8.61,13.20,57.40,YES
car,smooth,morning_rush,rainy,hyderabad_highway,13.03,0.781,16.30,563.4,387.6,162.0,215.2,0.098,0.00,31.10,29.10,NO
car,smooth,dawn,dusty,bangalore_tech,16.99,0.854,37.20,425.9,562.6,172.3,141.5,0.201,0.00,28.90,29.91,NO
pedestrian,smooth,afternoon,clear,mumbai_suburban,4.87,0.817,0.00,197.3,347.7,56.6,73.5,0.067,1.38,75.80,36.71,NO
truck,damaged_edge,evening_rush,dusty,mumbai_suburban,15.67,0.945,12.60,869.4,420.0,220.6,230.9,0.334,5.29,32.40,41.90,YES
motorcycle,pothole_heavy,afternoon,clear,bangalore_tech,14.38,0.834,33.10,692.2,426.3,78.8,94.1,0.055,7.86,87.60,37.68,NO
car,smooth,evening_rush,clear,mumbai_suburban,17.95,1.000,16.20,99.0,267.4,209.1,214.0,0.086,0.27,86.50,15.51,NO
car,pothole_light,evening_rush,dusty,mumbai_suburban,15.71,0.826,16.60,706.7,376.9,191.0,232.5,0.207,5.81,39.40,45.28,YES
bicycle,damaged_edge,night,clear,bangalore_tech,16.19,0.635,27.10,508.9,626.7,82.8,78.9,0.166,5.87,80.20,36.45,NO
car,pothole_heavy,afternoon,rainy,delhi_inner,12.99,0.816,28.70,894.5,246.7,177.5,144.3,0.195,7.43,30.90,49.44,YES
motorcycle,smooth,afternoon,clear,hyderabad_highway,13.60,0.755,37.90,1099.7,405.9,83.3,114.0,0.304,0.00,86.30,16.18,NO
motorcycle,pothole_heavy,morning_rush,rainy,delhi_inner,11.03,0.760,26.10,724.4,223.8,73.5,59.5,0.042,8.71,33.50,56.91,YES
motorcycle,pothole_light,evening_rush,dusty,delhi_inner,7.53,0.845,18.80,869.4,328.9,91.7,118.7,0.032,2.89,35.10,39.38,NO
car,pothole_heavy,morning_rush,clear,kolkata_old,21.20,0.911,17.10,62.3,422.9,178.3,160.8,0.395,6.58,87.40,28.70,NO
autorickshaw,pothole_heavy,evening_rush,rainy,hyderabad_highway,14.48,0.870,12.20,648.0,530.0,123.3,127.7,0.070,9.58,34.10,55.59,YES
car,flooded,night,clear,hyderabad_highway,15.35,0.846,30.90,829.1,407.5,182.4,235.9,0.389,7.05,81.20,40.69,NO
cow,pothole_light,night,rainy,bangalore_tech,12.54,0.505,0.90,566.4,381.0,139.7,129.0,0.087,4.46,27.70,67.24,YES
motorcycle,construction,evening_rush,clear,mumbai_suburban,9.73,0.824,21.90,686.1,524.0,124.1,163.7,0.205,5.51,77.30,37.74,NO
truck,construction,evening_rush,clear,hyderabad_highway,23.22,0.951,25.50,961.9,287.6,210.0,230.7,0.525,9.15,78.30,38.17,NO
dog,smooth,morning_rush,clear,kolkata_old,1.00,0.744,4.80,241.7,546.0,59.9,61.0,0.283,1.23,82.30,55.93,YES
pedestrian,pothole_heavy,evening_rush,clear,mumbai_suburban,2.98,0.832,1.40,119.8,412.2,60.4,72.3,0.350,7.64,84.20,56.57,YES
autorickshaw,pothole_light,night,dusty,rural_highway,14.25,0.598,30.00,807.3,567.0,111.1,111.6,0.408,3.38,27.80,40.62,NO
motorcycle,damaged_edge,morning_rush,hazy,delhi_inner,7.90,0.787,23.40,991.0,553.9,75.6,76.3,0.243,5.09,35.30,44.09,YES
motorcycle,pothole_light,evening_rush,clear,rural_highway,11.36,0.837,19.00,1034.4,597.5,63.7,79.0,0.459,3.43,75.20,24.95,NO
pedestrian,pothole_heavy,night,hazy,rural_highway,1.99,0.712,3.10,784.5,299.3,57.4,56.6,0.124,10.00,43.00,77.13,YES
e-rickshaw,smooth,night,clear,kolkata_old,16.46,0.676,17.40,968.6,475.1,117.6,108.2,0.366,0.00,86.00,19.12,NO
pedestrian,flooded,morning_rush,rainy,rural_highway,12.08,0.793,4.30,865.1,541.1,45.3,58.2,0.208,4.72,28.60,54.89,YES
truck,damaged_edge,evening_rush,dusty,hyderabad_highway,18.73,0.850,17.20,91.7,366.3,230.7,296.1,0.277,6.91,36.30,44.66,YES
pedestrian,pothole_heavy,morning_rush,hazy,delhi_inner,7.69,0.762,0.00,958.6,449.8,22.1,24.3,0.305,7.32,47.10,53.28,YES
autorickshaw,damaged_edge,morning_rush,dusty,bangalore_tech,14.61,0.804,13.50,210.0,204.5,109.4,122.1,0.268,5.94,29.90,45.74,YES
car,pothole_heavy,dawn,rainy,delhi_inner,21.50,0.956,43.90,260.9,279.5,177.5,216.1,0.614,8.81,37.30,47.17,YES
truck,pothole_heavy,night,clear,bangalore_tech,24.16,0.834,39.40,425.3,295.8,202.4,223.8,0.463,7.93,76.70,35.40,NO
bus,flooded,night,rainy,hyderabad_highway,31.19,0.762,25.10,332.3,442.8,223.8,235.0,0.431,4.83,37.80,38.05,NO
car,pothole_heavy,morning_rush,hazy,bangalore_tech,12.29,0.942,14.10,355.3,431.2,175.4,245.0,0.277,7.94,44.40,49.63,YES
pedestrian,pothole_light,night,rainy,mumbai_suburban,6.08,0.634,15.40,206.4,248.8,60.4,53.7,0.494,2.60,28.30,45.13,YES
motorcycle,pothole_heavy,evening_rush,dusty,kolkata_old,7.14,0.790,26.80,347.0,585.0,99.2,114.7,0.014,7.97,29.40,54.93,YES
autorickshaw,flooded,afternoon,hazy,rural_highway,14.68,0.735,27.80,23.0,267.7,111.8,148.9,0.516,6.93,46.00,48.10,YES
car,damaged_edge,evening_rush,dusty,delhi_inner,15.07,0.872,10.40,515.0,319.5,191.0,231.6,0.527,7.06,46.30,41.54,YES
autorickshaw,damaged_edge,morning_rush,foggy,bangalore_tech,11.73,0.696,13.00,884.2,274.9,129.5,172.1,0.091,3.69,22.10,42.61,YES
pedestrian,damaged_edge,night,hazy,delhi_inner,9.56,0.800,0.00,1044.8,588.5,68.3,68.4,0.314,4.70,46.40,48.52,YES
motorcycle,pothole_heavy,evening_rush,rainy,kolkata_old,13.59,0.758,28.30,988.8,535.7,74.7,72.0,0.039,7.37,26.70,55.75,YES
pedestrian,smooth,morning_rush,clear,delhi_inner,1.44,0.752,0.00,523.5,373.2,23.0,30.2,0.293,0.33,83.00,38.10,NO
pedestrian,pothole_light,morning_rush,dusty,kolkata_old,5.36,0.917,7.30,897.7,518.5,51.1,52.9,0.449,2.17,35.80,43.06,YES
bicycle,pothole_heavy,morning_rush,rainy,mumbai_suburban,15.00,0.626,9.60,352.7,283.5,54.8,67.2,0.356,6.89,29.70,51.22,YES
motorcycle,smooth,morning_rush,clear,delhi_inner,7.90,0.829,14.00,67.3,375.3,69.1,61.4,0.111,0.00,82.50,20.13,NO
motorcycle,construction,evening_rush,clear,rural_highway,7.39,0.847,30.40,814.2,360.4,75.5,94.6,0.089,5.27,70.90,39.37,NO
car,pothole_heavy,night,rainy,delhi_inner,18.37,0.585,38.80,717.0,276.7,174.9,197.5,0.051,7.21,29.50,54.19,YES
e-rickshaw,pothole_light,morning_rush,clear,bangalore_tech,5.36,0.774,6.40,936.2,561.2,112.1,107.8,0.363,6.01,74.00,35.98,NO
bicycle,pothole_heavy,morning_rush,clear,delhi_inner,11.35,0.788,9.90,739.0,493.0,80.5,88.3,0.357,8.42,80.10,43.74,YES
autorickshaw,pothole_heavy,evening_rush,hazy,bangalore_tech,12.54,0.874,20.60,182.9,306.5,114.5,139.5,0.183,8.08,41.40,48.48,YES
cow,construction,night,clear,bangalore_tech,7.37,0.495,0.00,967.5,297.4,145.9,117.8,0.283,8.62,76.70,65.00,YES
autorickshaw,smooth,afternoon,hazy,mumbai_suburban,14.50,0.786,35.10,727.5,206.8,120.2,142.2,0.264,0.46,38.30,28.87,NO
pedestrian,smooth,afternoon,clear,delhi_inner,4.69,0.802,0.00,982.0,355.3,64.0,72.0,0.438,0.57,85.60,33.28,NO
car,damaged_edge,evening_rush,clear,mumbai_suburban,19.90,0.896,10.90,853.7,386.9,177.2,165.2,0.461,4.43,76.60,26.42,NO
pedestrian,pothole_heavy,afternoon,rainy,kolkata_old,8.50,0.663,4.30,366.7,327.4,48.8,61.1,0.129,7.24,26.90,64.96,YES
car,smooth,morning_rush,hazy,hyderabad_highway,16.15,0.887,17.00,82.4,444.3,174.4,171.3,0.123,0.00,52.70,18.71,NO
cow,pothole_light,night,clear,kolkata_old,10.32,0.458,2.70,201.6,359.4,137.6,132.9,0.277,3.28,82.80,48.32,YES
pedestrian,smooth,evening_rush,clear,kolkata_old,4.76,0.822,2.40,115.3,351.4,38.2,41.4,0.400,0.00,69.80,31.47,NO
pedestrian,construction,evening_rush,rainy,mumbai_suburban,1.61,0.591,0.00,302.6,646.7,36.8,44.3,0.365,7.41,36.90,70.84,YES
car,damaged_edge,night,clear,mumbai_suburban,16.93,0.696,46.30,500.1,268.3,191.6,260.1,0.528,4.96,88.20,28.60,NO
motorcycle,pothole_light,evening_rush,clear,delhi_inner,10.45,0.869,17.60,1102.9,384.6,63.8,56.4,0.375,3.56,87.80,26.80,NO
motorcycle,flooded,morning_rush,clear,mumbai_suburban,11.85,0.787,26.70,1050.6,368.9,75.2,78.1,0.197,4.91,83.30,32.85,NO
motorcycle,pothole_heavy,afternoon,foggy,mumbai_suburban,10.37,0.690,45.60,851.4,306.1,95.2,80.0,0.219,8.48,14.50,66.95,YES
car,pothole_heavy,morning_rush,foggy,bangalore_tech,14.29,0.910,27.30,26.7,265.4,174.7,219.3,0.073,7.40,19.80,51.91,YES
bicycle,pothole_heavy,morning_rush,foggy,kolkata_old,18.97,0.721,4.80,408.8,330.6,82.4,88.1,0.168,8.42,12.80,49.88,YES
truck,pothole_light,evening_rush,rainy,rural_highway,15.79,0.838,12.00,729.3,426.0,211.1,258.5,0.089,1.70,25.70,30.78,NO
motorcycle,smooth,night,rainy,delhi_inner,13.00,0.609,50.30,156.9,549.9,64.2,63.8,0.402,0.40,24.40,33.87,NO
motorcycle,damaged_edge,dawn,hazy,kolkata_old,7.86,0.981,43.50,980.5,504.2,56.1,73.3,0.325,5.90,41.90,37.91,NO
autorickshaw,construction,evening_rush,rainy,hyderabad_highway,11.92,0.693,15.40,1042.9,366.1,139.7,156.6,0.130,7.74,30.80,52.48,YES
truck,smooth,morning_rush,clear,kolkata_old,20.17,0.955,18.40,381.4,323.3,202.9,277.3,0.237,0.00,77.80,10.68,NO
autorickshaw,smooth,morning_rush,rainy,mumbai_suburban,7.76,0.690,13.20,810.9,309.2,131.2,111.2,0.250,1.10,27.60,33.48,NO
bicycle,pothole_heavy,night,foggy,mumbai_suburban,11.65,0.518,20.20,181.5,234.1,55.0,61.0,0.266,6.47,18.50,55.65,YES
autorickshaw,pothole_heavy,evening_rush,hazy,delhi_inner,18.24,0.809,7.80,787.7,313.9,139.8,176.1,0.097,7.89,52.50,48.75,YES
e-rickshaw,smooth,evening_rush,hazy,mumbai_suburban,10.98,0.719,15.40,24.4,375.4,143.1,166.0,0.289,0.00,55.80,21.01,NO
dog,pothole_light,night,clear,hyderabad_highway,7.48,0.407,11.20,186.2,227.7,44.7,36.4,0.108,5.24,77.70,61.91,YES
motorcycle,flooded,night,rainy,delhi_inner,6.21,0.542,44.50,863.4,238.1,63.7,88.2,0.195,3.58,31.70,42.18,YES
bicycle,pothole_heavy,night,rainy,mumbai_suburban,11.67,0.583,14.60,853.1,315.8,81.6,79.9,0.546,6.73,25.80,51.60,YES
car,pothole_heavy,morning_rush,dusty,hyderabad_highway,21.29,0.901,14.20,700.3,325.5,187.7,178.2,0.381,10.00,38.80,52.76,YES
cow,pothole_light,night,clear,hyderabad_highway,6.64,0.352,9.70,538.6,339.4,151.7,165.5,0.084,1.08,77.60,45.96,YES
motorcycle,pothole_heavy,night,foggy,bangalore_tech,7.93,0.701,43.50,815.7,251.8,71.4,80.3,0.248,8.98,16.40,57.35,YES
dog,pothole_heavy,afternoon,rainy,kolkata_old,4.00,0.518,15.50,913.2,289.0,99.8,125.7,0.238,7.16,40.00,72.89,YES
dog,damaged_edge,evening_rush,dusty,bangalore_tech,4.89,0.520,0.00,1167.7,316.6,71.8,74.4,0.046,5.31,28.20,67.83,YES
cow,pothole_heavy,afternoon,hazy,delhi_inner,1.00,0.706,7.40,1029.3,226.4,121.7,129.5,0.143,9.70,32.70,86.41,YES
pedestrian,damaged_edge,dawn,hazy,bangalore_tech,9.24,0.799,0.00,980.3,352.7,46.2,51.8,0.462,5.35,48.70,50.72,YES
motorcycle,pothole_light,morning_rush,rainy,kolkata_old,7.10,0.826,24.50,846.3,232.9,61.9,64.2,0.277,5.72,28.20,47.38,YES
car,pothole_heavy,evening_rush,rainy,rural_highway,9.43,0.822,22.80,617.9,372.4,203.9,275.0,0.211,7.41,26.80,48.46,YES
motorcycle,pothole_light,morning_rush,dusty,delhi_inner,12.75,0.820,13.80,145.9,365.3,70.1,91.9,0.000,3.57,48.70,36.59,NO
car,flooded,night,clear,bangalore_tech,11.27,0.799,47.70,180.9,304.2,187.4,201.1,0.503,6.94,83.70,32.73,NO
pedestrian,pothole_light,morning_rush,clear,mumbai_suburban,5.34,0.829,4.50,1014.7,261.4,42.9,34.4,0.387,3.47,79.70,41.36,YES
motorcycle,damaged_edge,morning_rush,dusty,bangalore_tech,13.64,0.795,25.90,971.4,296.3,70.8,94.9,0.256,5.72,31.50,49.06,YES
bus,pothole_heavy,evening_rush,hazy,delhi_inner,18.86,0.819,15.40,650.5,276.0,221.3,193.6,0.161,9.42,47.20,49.80,YES
pedestrian,damaged_edge,dawn,rainy,mumbai_suburban,1.44,0.753,2.90,535.8,657.3,59.0,55.8,0.268,6.04,21.30,68.33,YES
cow,pothole_heavy,morning_rush,hazy,hyderabad_highway,10.56,0.641,0.00,29.2,515.6,159.5,142.2,0.572,6.11,42.40,61.63,YES
car,damaged_edge,morning_rush,clear,kolkata_old,18.14,0.882,15.20,364.4,205.6,166.3,150.9,0.406,4.59,79.80,27.75,NO
dog,smooth,night,foggy,bangalore_tech,1.67,0.540,11.60,518.7,483.7,46.8,60.0,0.156,0.34,21.10,62.34,YES
bicycle,construction,evening_rush,rainy,mumbai_suburban,13.71,0.665,6.20,582.0,309.0,82.0,94.2,0.207,6.71,29.30,51.10,YES
autorickshaw,pothole_light,dawn,clear,mumbai_suburban,15.46,0.781,23.90,1101.0,240.6,95.3,130.9,0.550,4.10,76.50,24.51,NO
truck,pothole_heavy,morning_rush,clear,bangalore_tech,14.11,0.814,14.00,113.2,409.1,238.3,223.7,0.236,8.35,84.60,41.84,YES
pedestrian,pothole_heavy,evening_rush,foggy,hyderabad_highway,10.11,0.730,1.10,645.2,263.2,36.4,39.8,0.286,7.37,11.70,68.38,YES
car,flooded,morning_rush,clear,rural_highway,18.10,0.901,18.40,410.8,330.2,163.5,226.6,0.308,5.77,78.60,33.00,NO
autorickshaw,smooth,morning_rush,dusty,bangalore_tech,9.94,0.834,11.40,1144.8,427.4,123.7,160.3,0.641,0.00,32.40,28.04,NO
motorcycle,damaged_edge,evening_rush,clear,bangalore_tech,15.30,0.785,21.20,1047.7,444.1,64.4,79.7,0.265,4.43,85.10,24.43,NO
car,pothole_heavy,evening_rush,rainy,hyderabad_highway,20.14,0.779,13.40,487.3,557.1,169.4,154.7,0.275,6.17,27.70,47.19,YES
motorcycle,pothole_light,night,dusty,bangalore_tech,11.41,0.785,39.80,1194.3,524.0,85.3,107.6,0.370,4.14,37.20,36.05,NO
car,pothole_heavy,afternoon,rainy,kolkata_old,13.22,0.855,27.20,584.2,490.5,143.6,144.8,0.083,7.77,31.70,48.53,YES
car,construction,evening_rush,hazy,mumbai_suburban,12.37,0.826,25.50,179.7,303.5,204.6,228.8,0.179,5.90,35.80,48.49,YES
car,damaged_edge,evening_rush,rainy,hyderabad_highway,13.66,0.881,28.70,611.1,202.6,180.7,210.6,0.056,7.14,29.70,48.60,YES
bus,construction,dawn,clear,kolkata_old,25.61,0.768,32.30,237.4,384.5,230.6,268.8,0.211,6.71,71.30,38.46,NO
truck,pothole_light,afternoon,clear,hyderabad_highway,19.63,0.897,31.00,684.2,466.9,204.7,253.0,0.277,4.34,81.80,28.46,NO
bus,damaged_edge,afternoon,dusty,hyderabad_highway,17.08,0.794,27.80,951.6,282.4,264.9,317.1,0.309,4.23,31.30,32.66,NO
autorickshaw,damaged_edge,afternoon,foggy,mumbai_suburban,17.93,0.856,15.60,904.9,605.5,129.0,108.5,0.195,4.50,25.90,44.91,YES
motorcycle,pothole_light,evening_rush,rainy,hyderabad_highway,9.46,0.636,21.70,322.1,258.3,100.8,108.3,0.336,4.39,29.10,49.84,YES
autorickshaw,flooded,afternoon,hazy,hyderabad_highway,11.74,0.849,29.50,347.4,315.2,109.8,131.5,0.147,5.60,41.10,45.22,YES
autorickshaw,construction,dawn,clear,mumbai_suburban,14.94,0.775,23.90,80.1,268.0,124.4,121.7,0.408,7.00,86.00,37.35,NO
car,flooded,afternoon,clear,delhi_inner,21.32,0.858,26.80,312.6,359.6,186.4,184.1,0.058,6.97,75.60,38.73,NO
pedestrian,damaged_edge,night,rainy,delhi_inner,1.00,0.694,0.00,113.0,572.3,60.4,52.9,0.413,4.38,34.50,60.00,YES
motorcycle,pothole_light,morning_rush,foggy,bangalore_tech,12.77,0.801,25.60,590.9,342.4,96.9,101.9,0.099,2.40,22.30,41.49,YES
truck,pothole_light,evening_rush,hazy,mumbai_suburban,14.40,0.796,14.70,758.5,407.3,209.2,291.3,0.361,2.17,43.20,33.04,NO
pedestrian,construction,dawn,foggy,kolkata_old,11.10,0.717,0.00,925.2,457.8,48.3,46.9,0.342,8.73,13.30,69.58,YES
car,pothole_heavy,morning_rush,clear,delhi_inner,14.40,0.919,22.30,66.0,353.1,170.8,191.2,0.344,9.12,86.20,41.24,YES
car,damaged_edge,dawn,hazy,rural_highway,15.97,0.778,37.30,374.2,433.5,179.2,223.3,0.275,5.79,47.50,42.23,YES
pedestrian,damaged_edge,evening_rush,clear,mumbai_suburban,6.05,0.765,0.20,351.4,247.8,60.5,48.9,0.274,4.48,76.10,42.84,YES
autorickshaw,damaged_edge,dawn,hazy,mumbai_suburban,6.43,0.962,32.40,123.6,503.6,95.2,127.6,0.214,3.40,46.20,41.11,NO
car,construction,evening_rush,clear,bangalore_tech,13.34,0.822,19.80,392.7,277.0,196.6,202.9,0.020,6.66,85.00,37.57,NO
e-rickshaw,pothole_light,afternoon,dusty,bangalore_tech,12.41,0.769,9.70,355.3,311.5,92.9,122.8,0.433,3.89,35.60,35.80,NO
car,pothole_light,morning_rush,clear,mumbai_suburban,19.24,0.845,21.40,700.9,425.1,175.4,144.4,0.255,2.64,81.20,27.08,NO
pedestrian,pothole_heavy,afternoon,dusty,mumbai_suburban,3.03,0.831,12.20,1070.0,614.1,68.7,60.9,0.370,6.24,40.20,57.73,YES
e-rickshaw,pothole_light,morning_rush,hazy,delhi_inner,14.94,0.739,11.10,529.9,434.7,114.9,114.2,0.181,1.92,52.70,30.46,NO
motorcycle,pothole_light,morning_rush,dusty,hyderabad_highway,6.41,0.888,23.10,892.2,481.8,85.1,85.7,0.081,4.79,34.40,47.21,YES
car,pothole_light,morning_rush,rainy,hyderabad_highway,17.46,0.811,24.10,163.2,438.9,162.3,212.4,0.213,2.55,23.30,38.31,NO
car,flooded,evening_rush,dusty,bangalore_tech,12.63,0.999,22.20,998.5,300.5,164.3,132.6,0.137,6.37,28.50,46.45,YES
motorcycle,construction,night,clear,hyderabad_highway,10.64,0.666,40.00,181.0,537.9,94.1,111.5,0.029,6.52,76.50,38.97,NO
car,pothole_heavy,morning_rush,rainy,hyderabad_highway,17.89,0.801,18.10,213.0,354.5,171.2,150.4,0.258,8.71,25.30,55.25,YES
pedestrian,pothole_light,morning_rush,dusty,delhi_inner,2.72,0.815,0.00,131.7,281.7,42.6,55.1,0.418,4.40,26.60,52.46,YES
car,construction,evening_rush,clear,rural_highway,12.19,0.813,14.30,336.2,295.8,194.5,246.4,0.187,6.72,89.20,35.11,NO
autorickshaw,pothole_heavy,morning_rush,clear,hyderabad_highway,11.73,0.763,19.70,649.5,299.8,104.3,114.7,0.443,8.16,82.60,41.14,NO
e-rickshaw,pothole_heavy,morning_rush,hazy,mumbai_suburban,17.52,0.710,7.00,1152.0,294.7,114.0,105.8,0.224,7.87,42.40,50.20,YES
